Mon-Yr,CA,Alameda,Amador,Butte,Calaveras,Contra-Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Tulare,Tuolumne,Ventura,Yolo,Yuba,Condo,LA Metro,Central Coast,Central Valley,Far North,Inland Empire,S.F. Bay Area,SoCal
Aug-92,194670.00,223511.00,NA,111578.00,NA,NA,NA,NA,96964.00,NA,109166.00,91842.00,NA,NA,NA,212099.00,NA,369736.00,NA,135999.00,106666.00,NA,188999.00,185714.00,NA,228781.00,185000.00,NA,142937.00,132000.00,NA,134537.00,178986.00,279166.00,112143.00,183529.00,320513.00,248488.00,242810.00,225694.00,NA,90000.00,NA,197599.00,114838.00,NA,NA,100435.00,NA,228400.00,NA,NA,147840.00,208580.00,NA,NA,NA,NA,236352.00,NA
Sep-92,195840.00,219496.00,NA,120588.00,NA,NA,NA,NA,107368.00,NA,111666.00,97083.00,NA,NA,NA,212738.00,NA,320238.00,NA,111111.00,99374.00,NA,193333.00,186666.00,NA,224886.00,165560.00,NA,146806.00,131200.00,NA,132948.00,185909.00,276666.00,110556.00,179842.00,316316.00,225047.00,244750.00,245237.00,NA,88333.00,NA,198490.00,115869.00,NA,NA,91667.00,NA,219190.00,NA,NA,140770.00,203014.00,NA,NA,NA,NA,232734.00,NA
Oct-92,194000.00,214925.00,NA,118124.00,NA,NA,NA,NA,104127.00,NA,110833.00,90588.00,NA,NA,NA,201149.00,NA,333333.00,NA,116666.00,97777.00,NA,186470.00,192222.00,NA,221800.00,169050.00,NA,141659.00,130000.00,NA,136829.00,182313.00,265151.00,118333.00,189279.00,315555.00,239315.00,243530.00,247595.00,NA,90000.00,NA,199761.00,117825.00,NA,NA,98999.00,NA,214120.00,NA,NA,146160.00,205575.00,NA,NA,NA,NA,232589.00,NA
Nov-92,189670.00,217514.00,NA,127647.00,NA,NA,NA,NA,96606.00,NA,115651.00,96666.00,NA,NA,NA,207083.00,NA,330909.00,NA,140000.00,89582.00,NA,187646.00,188333.00,NA,221394.00,171250.00,NA,143193.00,130000.00,NA,136703.00,181709.00,258019.00,115416.00,177853.00,323500.00,217576.00,239620.00,234166.00,NA,83333.00,NA,195000.00,115773.00,NA,NA,96666.00,NA,221340.00,NA,NA,146130.00,216946.00,NA,NA,NA,NA,235576.00,NA
Dec-92,193330.00,222321.00,NA,109500.00,NA,NA,NA,NA,94482.00,NA,105789.00,92000.00,NA,NA,NA,214005.00,NA,338000.00,NA,137999.00,110769.00,NA,193333.00,173749.00,NA,226063.00,162630.00,NA,138243.00,132500.00,NA,134562.00,180571.00,258807.00,107499.00,181857.00,303571.00,208608.00,253130.00,222825.00,NA,100000.00,NA,201712.00,113721.00,NA,NA,94500.00,NA,217050.00,NA,NA,141180.00,206924.00,NA,NA,NA,NA,230941.00,NA
Jan-93,191670.00,209583.00,NA,113333.00,NA,NA,NA,NA,94444.00,NA,110000.00,86071.00,NA,NA,NA,207810.00,NA,310294.00,NA,120000.00,106999.00,NA,185000.00,177999.00,NA,213494.00,174170.00,NA,131548.00,129200.00,NA,135444.00,174895.00,258772.00,113333.00,196820.00,312903.00,224104.00,246000.00,244530.00,NA,79166.00,NA,194411.00,96818.00,NA,NA,95999.00,NA,203670.00,NA,NA,140450.00,205932.00,NA,NA,NA,NA,232937.00,NA
Feb-93,187440.00,201699.00,NA,113999.00,NA,NA,NA,NA,98999.00,NA,114444.00,84000.00,NA,NA,NA,195681.00,NA,323333.00,NA,120000.00,90833.00,NA,209615.00,188750.00,NA,210186.00,154610.00,NA,137424.00,125500.00,NA,135000.00,176960.00,251667.00,114285.00,179858.00,310000.00,256471.00,242240.00,243269.00,NA,85000.00,NA,191290.00,113611.00,NA,NA,110000.00,NA,202660.00,NA,NA,142580.00,204998.00,NA,NA,NA,NA,226438.00,NA
Mar-93,189130.00,216313.00,NA,110999.00,NA,NA,NA,NA,95178.00,NA,105000.00,85000.00,NA,NA,NA,198013.00,NA,330263.00,NA,123333.00,87777.00,NA,219642.00,174999.00,NA,213593.00,175000.00,NA,136932.00,130000.00,NA,139422.00,173481.00,266101.00,108333.00,192205.00,313855.00,219074.00,243510.00,230921.00,NA,80000.00,NA,190500.00,116341.00,NA,NA,87307.00,NA,215290.00,NA,NA,144060.00,206556.00,NA,NA,NA,NA,230008.00,NA
Apr-93,192600.00,219999.00,NA,114999.00,NA,NA,NA,NA,96363.00,NA,115714.00,91458.00,NA,NA,NA,197547.00,NA,315625.00,NA,114545.00,104285.00,NA,203676.00,185000.00,NA,207998.00,160000.00,NA,131012.00,130000.00,NA,132745.00,177710.00,265530.00,118420.00,176130.00,306044.00,244276.00,242740.00,237121.00,NA,95000.00,NA,195365.00,117096.00,NA,NA,94230.00,NA,213280.00,NA,NA,144480.00,213719.00,NA,NA,NA,NA,226603.00,NA
May-93,188850.00,219897.00,NA,129166.00,NA,NA,NA,NA,99473.00,NA,117618.00,91333.00,NA,NA,NA,188159.00,NA,333750.00,NA,134999.00,97083.00,NA,196428.00,187777.00,NA,216383.00,172380.00,NA,139332.00,131310.00,NA,138022.00,178787.00,258846.00,119614.00,161560.00,300000.00,177855.00,243450.00,231060.00,NA,81667.00,NA,201415.00,110370.00,NA,NA,87333.00,NA,210960.00,NA,NA,144170.00,209050.00,NA,NA,NA,NA,233741.00,NA
